"Rank","Name","W","L","Pct"
"","Xavier","32","20-12","2403","75.1"
"128","Oral Roberts","30","8-22","2252","75.1"
"129","Tennessee","31","16-15","2326","75.0"
"130","Kennesaw St.","32","14-18","2401","75.0"
"131","UNCG","34","25-9","2551","75.0"
"132","Sam Houston St.","32","20-12","2400","75.0"
"133","Siena","34","17-17","2549","75.0"
"134","Clemson","32","17-15","2399","75.0"
"135","Drexel","32","9-23","2397","74.9"
"136","Central Ark.","32","8-24","2395","74.8"
"137","LSU","31","10-21","2319","74.8"
"","George Mason","31","19-12","2319","74.8"
"139","North Dakota St.","30","19-11","2244","74.8"
"140","Eastern Ill.","29","14-15","2169","74.8"
"141","Yale","27","17-10","2019","74.8"
"142","VCU","31","24-7","2318","74.8"
"143","Nicholls St.","31","14-17","2316","74.7"
"144","Cincinnati","31","27-4","2315","74.7"
"145","Montana","31","16-15","2314","74.6"
"","Chattanooga","31","19-12","2314","74.6"
"","Michigan","31","20-11","2314","74.6"
"148","Memphis","31","19-12","2313","74.6"
"149","SMU","31","27-4","2312","74.6"
"150","Southeast Mo. St.","33","15-18","2460","74.5"
"151","Maryland","31","24-7","2309","74.5"
"152","Furman","32","21-11","2381","74.4"
"153","Fresno St.","30","19-11","2230","74.3"
"154","Charleston So.","31","12-19","2304","74.3"
"155","Georgia St.","30","19-11","2229","74.3"
"156","Middle Tenn.","31","27-4","2300","74.2"
"157","Niagara","33","10-23","2448","74.2"
"158","Bryant","32","12-20","2373","74.2"
"159","Towson","33","20-13","2447","74.2"
"160","Richmond","30","19-11","2223","74.1"
"","New Mexico","30","17-13","2223","74.1"
"162","Vermont","33","28-5","2445","74.1"
"163","Davidson","29","15-14","2147","74.0"
"164","Georgetown","32","14-18","2369","74.0"
"165","Houston","30","21-9","2218","73.9"
"166","TCU","32","18-14","2364","73.9"
"167","Idaho","29","17-12","2139","73.8"
"168","Seton Hall","30","20-10","2211","73.7"
"169","Air Force","32","12-20","2356","73.6"
"170","Appalachian St.","30","9-21","2208","73.6"
"171","Bowling Green","32","13-19","2355","73.6"
"172","San Jose St.","29","14-15","2131","73.5"
"173","Cal St. Fullerton","29","16-13","2130","73.4"
"174","Loyola Chicago","32","18-14","2348","73.4"
"175","Arkansas St.","32","20-12","2346","73.3"
"","Texas Tech","32","18-14","2346","73.3"
